filename,category,april_events,is_valid_event
005.txt,tech," A major international art installation is scheduled to open on 15 April in Brussels, with a further exhibit in Madrid later in the summer.",True
354.txt,tech," In April, two men who were part of the internet software pirates network known as Drink Or Die were convicted at the Old Bailey.",True
341.txt,tech, The spring launch of the PSP in the UK is eagerly awaited by gaming fans.,True
355.txt,tech, Apple won its legal fight to make three bloggers reveal their sources in April.,True
141.txt,tech," The Top 500 list, which officially charts the fastest computers in the world, was announced in April.",True
187.txt,tech," Thousands of civil servants at the UK's Department of Work and Pensions experienced a network crash, depriving them of email and access to application software in April.",True
145.txt,tech," The study by US researchers, Pew Internet, was conducted between March and April 2004.",True
231.txt,tech," The issue of warnings on games for adults was raised by Trade and Industry Secretary Patricia Hewitt in April. Discussions were held between government officials, industry representatives, and the British Board of Film Classification to consider ways to ensure that parents know which video games are suitable for children.",True
108.txt,tech, Microsoft aims to launch search software to find any kind of file on a PC hard drive by the end of 2004.,True
252.txt,tech, The original Zafi virus appeared in April this year.,True
078.txt,tech," The rise of blog readership, with 32 million Americans getting hooked in 2004, attributed to political blogs written and read during the US presidential campaign.",True
045.txt,tech, The spring launch of the PSP in the UK is eagerly awaited by gaming fans.,True
092.txt,tech," In April, the Norwegian Supreme Court upheld a ruling ordering Frank Allan Bruvik to pay 100,000 kroner to the music industry for running a website that linked to downloadable MP3 files.",True
